id	name_en	name_zh	aliases	primary_family	tasks	designs	domains	r_packages	r_functions	maturity	cautions	source_keys
ice-plot	individual conditional expectation	个体条件期望图	ICE	model-interpretation	heterogeneous feature effects	model-based	soil; machine-learning	iml; pdp	FeatureEffect; partial ice	domain-standard	overplotting and impossible feature combinations	R-CTVS
ale-plot	accumulated local effects	累积局部效应图	ALE	model-interpretation	feature effects with correlation	model-based	soil; machine-learning	iml; ALEPlot	FeatureEffect ale	domain-standard	binning, sample support and centered scale	R-CTVS
variable-importance	variable importance plot	变量重要性图	VIP	model-interpretation	global feature importance	model-based	soil; machine-learning	vip; DALEX	vip; model_parts	domain-standard	metric, resampling and correlated features	R-CTVS
shap-beeswarm	SHAP beeswarm plot	SHAP 蜂群图	SHAP summary	model-interpretation	global local-contribution distribution	model-based	soil; machine-learning	shapviz	sv_importance kind beeswarm	domain-standard	baseline/output scale and correlation; non-causal	P-DSM-UNCERTAINTY-2024
shap-dependence	SHAP dependence plot	SHAP 依赖图	feature-SHAP scatter	model-interpretation	feature contribution relationship	model-based	soil; machine-learning	shapviz	sv_dependence	domain-standard	interaction coloring and correlation	P-DSM-UNCERTAINTY-2024
shap-waterfall	SHAP waterfall plot	SHAP 瀑布图	local explanation waterfall	model-interpretation	one prediction explanation	model-based	soil; machine-learning	shapviz	sv_waterfall	domain-standard	baseline, top-feature truncation and output scale	P-DSM-UNCERTAINTY-2024
posterior-predictive-check	posterior predictive check	后验预测检验图	PPC	model-diagnostic	Bayesian model fit	model-based	general; soil	bayesplot	ppc_*	domain-standard	compare replicated to observed; not just pretty overlap	R-GGDIST
trace-plot	MCMC trace plot	MCMC 轨迹图	chain trace	model-diagnostic	Bayesian convergence	model-based	general	bayesplot	mcmc_trace	domain-standard	multiple chains, warmup and mixing	R-CTVS
rank-histogram	MCMC rank histogram	MCMC 秩直方图	chain rank plot	model-diagnostic	Bayesian chain mixing	model-based	general	bayesplot	mcmc_rank_hist	domain-standard	interpret with ESS/Rhat	R-CTVS
bland-altman	Bland-Altman plot	Bland–Altman 一致性图	mean-difference plot	model-diagnostic	method/sensor agreement	paired	soil; remote-sensing	blandr; ggplot2	custom	domain-standard	limits of agreement, repeated measures and proportional bias	R-CTVS
nomogram	nomogram	列线图	risk score nomogram	model-interpretation	manual prediction	model-based	general	rms	nomogram	domain-standard	calibration, validation and scale	R-CTVS
sem-path	SEM path diagram	结构方程路径图	path model diagram	schematic	model structure/effects	model-based	soil; ecology	semPlot; piecewiseSEM	semPaths; plot	domain-standard	arrows not proof of causality; standardized coefficient type	R-CTV-GRAPHICALMODELS
causal-dag	causal DAG	因果有向无环图	causal graph	schematic	causal assumptions	causal design	general; soil	ggdag; dagitty	ggdag; dagitty	domain-standard	assumption diagram not estimated effect	R-CTV-CAUSALINFERENCE
workflow-diagram	workflow diagram	工作流程图	pipeline flowchart	schematic	analysis/process workflow	process	general; soil	DiagrammeR; ggplot2	grViz; custom	canonical	separate data flow, decisions and outputs	R-CTVS
experimental-design-diagram	experimental design diagram	试验设计图	plot layout schematic	schematic	randomization/treatment layout	designed experiment	soil; agronomy	agricolae; ggplot2	fieldbook plus geom_tile	domain-standard	distinguish schematic from measured map	R-CTV-AGRI
conceptual-model	conceptual model diagram	概念模型图	mechanism schematic	schematic	hypothesized processes	conceptual	soil; ecology	DiagrammeR; ggplot2	custom	canonical	label hypotheses/evidence; no invented arrows	P-JAMBOR-2025
consort-flow	study flow diagram	研究流程图	CONSORT-style flow	schematic	sample/study flow	process	general	consort; DiagrammeR	consort_plot	domain-standard	counts reconcile at every branch	R-CTVS
image-montage	image montage	影像拼版图	contact sheet	image	compare images	image	microscopy; remote-sensing	magick; patchwork	image_append; plot layout	canonical	identical scaling/processing and labels	P-IMAGE-2024
multichannel-overlay	multichannel image overlay	多通道叠加图	false-color composite	image	co-location/features	image	microscopy; remote-sensing	EBImage; magick; terra	color composite	domain-standard	channel ranges, color mixing and originals	P-IMAGE-2024
segmentation-overlay	segmentation overlay	分割叠加图	mask overlay	image	segmentation results	image model	microscopy; remote-sensing	EBImage; ggplot2	paintObjects; overlay	domain-standard	show raw image, model/threshold and corrections	P-IMAGE-2024
kymograph	kymograph	时空线扫描图	space-time image	image-volume	motion/change along line	space-time image	biology; environmental	EBImage; ggplot2	geom_raster	domain-standard	space/time calibration and line selection	P-IMAGE-2024
orthogonal-slices	orthogonal slice view	正交切片图	axial-coronal-sagittal	image-volume	3D volume inspection	volume	soil-CT; microscopy	oro.nifti; rgl; plotly	slices	domain-standard	shared coordinates, voxel anisotropy and windowing	P-IMAGE-2024
maximum-intensity-projection	maximum intensity projection	最大强度投影图	MIP	image-volume	3D signal overview	volume	microscopy; soil-CT	rgl; EBImage	projection	domain-standard	depth lost and bright structures dominate	P-IMAGE-2024
isosurface	isosurface plot	等值面图	3D contour surface	image-volume	3D threshold surface	volume	soil-CT; geoscience	rgl; plotly	contour3d; isosurface	domain-standard	threshold, occlusion and aspect	R-CTV-SPATIAL
surface-3d	3D surface plot	三维曲面图	response/terrain surface	image-volume	true x-y-z surface	spatial/response	soil; geoscience	plotly; rgl; rayshader	surface3d	canonical	perspective/occlusion; supply contour alternative	R-CTV-SPATIAL
point-cloud-3d	3D point cloud	三维点云图	LiDAR point cloud	image-volume	3D points	point cloud	remote-sensing; soil structure	rgl; plotly; lidR	plot	domain-standard	density, decimation, CRS and aspect	R-CTV-SPATIAL
mantel-correlogram	Mantel correlogram with matrix links	Mantel 相关矩阵—连线复合图	Mantel matrix-link plot	matrix	matrix association plus cross-table distance association	multivariate; permutation	soil; ecology; microbiome	vegan; linkET; ggplot2	mantel; qcorrplot; geom_couple	composite	distance definitions, restricted permutations, test statistic, multiple testing and link thresholds must be explicit	R-VEGAN;R-GGPLOT
