journal_name,group_name,soil_relevance,publisher,language_or_region,soil_topic_scope,official_author_url,official_source_status,source_accessed_at,cscd_2025_2026,scopus_2026_07,scopus_coverage,scopus_source_id,evidence_grade,caution,evidence_sources,evidence_accessed_at
Journal of Soil Science and Plant Nutrition,国际土壤学专业期刊,直接土壤,Springer Nature,International / English,直接土壤学/土壤过程,https://link.springer.com/journal/42729/submission-guidelines,已定位官方投稿入口,2026-08-15,,Active,2010-2026,21100200421,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Journal Of Soils And Sediments,国际土壤学专业期刊,直接土壤,Springer Nature,International / English,Soil Science category,https://link.springer.com/journal/11368/submission-guidelines,已定位官方投稿入口,2026-08-15,,Active,2001-2026,99584,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Land Degradation and Development,国际土壤学专业期刊,直接土壤,Wiley,International / English,直接土壤学/土壤过程,https://onlinelibrary.wiley.com/page/journal/1099145x/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,,Active,1992-2026; 1989-1990,23239,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Land Use Policy,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,耕地保护、土地退化、土壤治理和政策评估,https://www.sciencedirect.com/journal/land-use-policy/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1984-2026,14500,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Landscape Ecology,国际综合与跨学科期刊,综合交叉,Springer Nature,国际/英文,土地利用变化、土壤空间异质性和景观过程,https://link.springer.com/journal/10980/submission-guidelines,official entry recorded,2026-08-15,,Active,1987-2026,23972,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Microbes and Environments,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1996-2026,19400157007,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Microbial Ecology,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1979-2026; 1974-1977,20266,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Microbiome,国际综合与跨学科期刊,综合交叉,BMC / Springer Nature,国际/英文,土壤微生物组、多组学与宿主/环境互作,https://microbiomejournal.biomedcentral.com/submission-guidelines,official entry recorded,2026-08-15,,Active,2013-2026,21100401152,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Mires and Peat,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2015-2025,21100400829,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Molecular Plant Pathology,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2000-2026,19790,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
mSystems,国际综合与跨学科期刊,综合交叉,American Society for Microbiology,国际/英文,土壤微生物系统、生物信息学和机制研究,https://journals.asm.org/journal/msystems/author-instructions,official entry recorded,2026-08-15,,Active,2016-2026,21100850723,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Nature,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,具有全球或学科范式影响的土壤过程、土壤碳与气候、重大方法突破,https://www.nature.com/nature/for-authors,official entry recorded,2026-08-15,,Active,1869-2026,21206,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Nature Communications,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,机制完整、影响较广的土壤生态、碳氮循环、污染和方法研究,https://www.nature.com/ncomms/submit/how-to-submit,official entry recorded,2026-08-15,,Active,2010-2026,19700182758,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Nature Food,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,土壤健康、养分管理、农业系统与粮食安全,https://www.nature.com/natfood/for-authors,official entry recorded,2026-08-15,,Active,2020-2026,21101041558,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Nature Geoscience,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,关键带、风化、土壤碳、地球表层过程,https://www.nature.com/ngeo/for-authors,official entry recorded,2026-08-15,,Active,2008-2026,17600155041,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Nature Microbiology,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,具有广泛影响的土壤微生物机制研究,https://www.nature.com/nmicrobiol/for-authors,official entry recorded,2026-08-15,,Active,2016-2026,21100773752,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Nature Sustainability,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,土壤健康、农业可持续性、土地退化和政策影响,https://www.nature.com/natsustain/for-authors,official entry recorded,2026-08-15,,Active,2018-2026,21100873499,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Nutrient Cycling in Agroecosystems,国际土壤学交叉期刊,土壤及邻近,Springer Nature,International / English,Scopus 土壤学分类中的交叉期刊,https://link.springer.com/journal/10705/submission-guidelines,已定位官方投稿入口,2026-08-15,,Active,1996-2026,56795,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
One Earth,国际综合与跨学科期刊,综合交叉,Cell Press,国际/英文,土壤退化、土地管理、气候和可持续发展,https://www.cell.com/one-earth/authors,official entry recorded,2026-08-15,,Active,2019-2026,21101027517,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Pedobiologia,国际土壤学交叉期刊,土壤及邻近,Elsevier,International / English,Scopus 土壤学分类中的交叉期刊,https://www.sciencedirect.com/journal/pedobiologia/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,1979-2026; 1977,36093,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Pedosphere,国际土壤学专业期刊,直接土壤,Elsevier / ISSAS,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/pedosphere/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,C,Active,1996-2026,23312,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Plant and Soil,国际土壤学专业期刊,直接土壤,Springer Nature,International / English,直接土壤学/土壤过程,https://link.springer.com/journal/11104/submission-guidelines,已定位官方投稿入口,2026-08-15,,Active,1948-2026,16574,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Plant Protection Science,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2007-2026,5800179589,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
"Plant, Soil and Environment",国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2003-2026,68435,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Proceedings of the Institution of Civil Engineers: Ground Improvement,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2008-2026,11600153414,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Proceedings of the National Academy of Sciences (PNAS),国际综合与跨学科期刊,综合交叉,National Academy of Sciences,国际/英文,基础机制或全球尺度土壤生态与生物地球化学,https://www.pnas.org/author-center/submitting-your-manuscript,official entry recorded,2026-08-15,,Active,1961-2026; 1945-1951,21121,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Remote Sensing of Environment,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1974-2026; 1969-1971,12503,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
"Resources, Conservation & Recycling",国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,有机废弃物土壤利用、养分循环和资源化,https://www.sciencedirect.com/journal/resources-conservation-and-recycling/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1988-2026,26424,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Restoration Ecology,国际综合与跨学科期刊,综合交叉,Society for Ecological Restoration / Wiley,国际/英文,退化土壤恢复、矿山复垦、生态工程,https://onlinelibrary.wiley.com/page/journal/1526100x/homepage/forauthors.html,official entry recorded,2026-08-15,,Active,1993-2026,25259,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Revista Brasileira de Ciencia do Solo,国际土壤学交叉期刊,土壤及邻近,Brazilian Soil Science Society,International / English,Scopus 土壤学分类中的交叉期刊,https://www.rbcsjournal.org/instructions-to-authors/,已定位官方投稿入口,2026-08-15,,Active,2004-2026,145505,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Rhizosphere,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/rhizosphere/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,2016-2026,21100788801,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Rice,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2008-2026,19500157075,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Sains Tanah,国际土壤学专业期刊,直接土壤,Universitas Sebelas Maret,International / English,Soil Science category,https://jurnal.uns.ac.id/tanah/about/submissions,已定位官方投稿入口,2026-08-15,,Active,2019-2025,21101016524,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Science,国际综合与跨学科期刊,综合交叉,AAAS,国际/英文,具有广泛科学影响的土壤—气候—生物地球化学研究,https://www.science.org/content/page/instructions-preparing-initial-manuscript,official entry recorded,2026-08-15,,Active,1883-2026; 1880-1881,23571,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Science Advances,国际综合与跨学科期刊,综合交叉,AAAS,国际/英文,跨学科土壤过程、全球变化、土壤健康与新技术,https://www.science.org/content/page/science-advances-information-authors,official entry recorded,2026-08-15,,Active,2015-2026,21100457028,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Science of The Total Environment,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤污染、土壤生态、全球变化和多介质过程,https://www.sciencedirect.com/journal/science-of-the-total-environment/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1972-2026,25349,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Scientific Data,国际综合与跨学科期刊,综合交叉,Nature Portfolio,国际/英文,土壤调查、土壤组学、遥感与长期观测数据集,https://www.nature.com/sdata/submission-guidelines,official entry recorded,2026-08-15,,Active,2014-2026,21100451321,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
SOIL,国际土壤学专业期刊,直接土壤,Copernicus Publications,International / English,直接土壤学/土壤过程,https://www.soil-journal.net/submission.html,已定位官方投稿入口,2026-08-15,,Active,2015-2026,21100843337,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil & Environment,国际土壤学专业期刊,直接土壤,University of Agriculture Faisalabad,International / English,Soil Science category,https://www.se.org.pk/,已定位官方投稿入口,2026-08-15,,Active,2010-2026,19700188209,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil and Environmental Health,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2023-2026,21101196047,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil and Sediment Contamination,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1996-2026,24512,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil and Tillage Research,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/soil-and-tillage-research/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,1982-2027; 1980,38003,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil and Water Research,国际土壤学专业期刊,直接土壤,Czech Academy of Agricultural Sciences,International / English,直接土壤学/土壤过程,https://swr.agriculturejournals.cz/artkey/inf-990000-0100_Instructions-to-Authors.php,已定位官方投稿入口,2026-08-15,,Active,2006-2026,5300152718,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Biology and Biochemistry,国际土壤学专业期刊,直接土壤,Elsevier,International / English,直接土壤学/土壤过程,https://www.sciencedirect.com/journal/soil-biology-and-biochemistry/publish/guide-for-authors,已定位官方投稿入口,2026-08-15,,Active,1969-2026,14802,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Dynamics and Earthquake Engineering,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1986-2026,28960,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Ecology Letters,国际土壤学专业期刊,直接土壤,Springer Nature,International / English,直接土壤学/土壤过程,https://link.springer.com/journal/42832/submission-guidelines,已定位官方投稿入口,2026-08-15,C,Active,2019-2026,21101046232,CSCD 核心,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Research,国际土壤学专业期刊,直接土壤,CSIRO Publishing,International / English,直接土壤学/土壤过程,https://www.publish.csiro.au/sr/forauthors/AuthorInstructions,已定位官方投稿入口,2026-08-15,,Active,2011-2026,19700201636,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Science and Plant Nutrition,国际土壤学专业期刊,直接土壤,Taylor & Francis,International / English,直接土壤学/土壤过程,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tssp20,已定位官方投稿入口,2026-08-15,,Active,1955-2026,33461,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Science Annual,国际土壤学专业期刊,直接土壤,Polish Society of Soil Science,International / English,直接土壤学/土壤过程,"https://soilscienceannual.com/For-authors,2105.html",已定位官方投稿入口,2026-08-15,,Active,2012-2026,21100782674,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Science Society of America Journal,国际土壤学专业期刊,直接土壤,ACSESS / Wiley,International / English,直接土壤学/土壤过程,https://acsess.onlinelibrary.wiley.com/hub/journal/14350661/author-guidelines,已定位官方投稿入口,2026-08-15,,Active,1976-2026,37206,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Security,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2020-2026,21101185682,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Systems,国际土壤学专业期刊,直接土壤,MDPI,International / English,直接土壤学/土壤过程,https://www.mdpi.com/journal/soilsystems/instructions,已定位官方投稿入口,2026-08-15,,Active,2017-2026,21101024040,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Soil Use and Management,国际土壤学专业期刊,直接土壤,Wiley,International / English,直接土壤学/土壤过程,https://onlinelibrary.wiley.com/page/journal/14752743/homepage/forauthors.html,已定位官方投稿入口,2026-08-15,,Active,1985-2026,36538,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Solid Earth,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2010-2026,19900191969,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Spanish Journal of Soil Science,国际土壤学专业期刊,直接土壤,Frontiers Partnerships,International / English,直接土壤学/土壤过程,https://www.frontierspartnerships.org/journals/spanish-journal-of-soil-science/for-authors/author-guidelines,已定位官方投稿入口,2026-08-15,,Active,2011-2026,21100399434,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Subterranean Biology,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2013-2026; 2011,21100218076,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Sustainable Production and Consumption,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,肥料、土壤管理、农业资源循环和生命周期评价,https://www.sciencedirect.com/journal/sustainable-production-and-consumption/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,2015-2026,21100416081,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Terra Latinoamericana,国际土壤学专业期刊,直接土壤,Sociedad Mexicana de la Ciencia del Suelo,International / English,Soil Science category,https://www.terralatinoamericana.org.mx/index.php/terra/about/submissions,已定位官方投稿入口,2026-08-15,,Active,2016-2026,21100978911,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
The ISME Journal,国际综合与跨学科期刊,综合交叉,Oxford University Press / ISME,国际/英文,土壤微生物群落机制、组学和生态理论,https://academic.oup.com/ismej/pages/general-instructions,official entry recorded,2026-08-15,,Active,2007-2026,5800173382,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Urban Forestry and Urban Greening,国际土壤学交叉期刊,土壤及邻近,待核验,International / English,Scopus 土壤学分类中的交叉期刊,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,2002-2026,145301,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Vadose Zone Journal,国际土壤学专业期刊,直接土壤,ACSESS / Wiley,International / English,直接土壤学/土壤过程,https://acsess.onlinelibrary.wiley.com/hub/journal/15391663/author-guidelines,已定位官方投稿入口,2026-08-15,,Active,2002-2026,7200153151,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Waste Management,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,污泥、堆肥、土壤施用和环境风险,https://www.sciencedirect.com/journal/waste-management/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1983-2026,26490,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Water Research,国际综合与跨学科期刊,综合交叉,Elsevier,国际/英文,土壤—水界面、污染迁移、废水灌溉和环境微生物,https://www.sciencedirect.com/journal/water-research/publish/guide-for-authors,official entry recorded,2026-08-15,,Active,1967-2026,18795,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Water Resources Research,国际综合与跨学科期刊,综合交叉,AGU / Wiley,国际/英文,土壤水分、包气带、溶质运移和水文模型,https://www.agu.org/Publish-with-AGU/Publish/Author-Resources,official entry recorded,2026-08-15,,Active,1965-2026,18854,Scopus 收录,,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
Yantu Lixue/Rock and Soil Mechanics,国际土壤学专业期刊,直接土壤,待核验,International / English,直接土壤学/土壤过程,,仅完成分类收录，投稿入口待逐刊核验,2026-08-15,,Active,1998-2026,14617,Scopus 收录,投稿链接尚未收录，请通过期刊主办单位或出版机构官网查询。,http://sciencechina.cn/select | https://www.elsevier.com/products/scopus/content,2026-08-15
